Sample,Time(S),CH1(V),CH2(V)
358,-0.001242,-0.0798874,4.21805
359,-0.001241,-0.0798874,4.1861
360,-0.00124,-0.0798874,4.1861
361,-0.001239,-0.0479324,4.25001
362,-0.001238,-0.0798874,4.20208
363,-0.001237,-0.0798874,4.1861
364,-0.001236,-0.0798874,4.20208
365,-0.001235,-0.0798874,4.20208
366,-0.001234,-0.0798874,4.1861
367,-0.001233,-0.0798874,4.21805
368,-0.001232,-0.0798874,4.20208
369,-0.001231,-0.0798874,4.20208
370,-0.00123,-0.0798874,4.20208
371,-0.001229,-0.0798874,4.20208
372,-0.001228,-0.0798874,4.20208
373,-0.001227,-0.0798874,4.20208
374,-0.001226,-0.0798874,4.20208
375,-0.001225,-0.0798874,4.20208
376,-0.001224,-0.0798874,4.20208
377,-0.001223,-0.0798874,4.1861
378,-0.001222,-0.0798874,4.15414
379,-0.001221,-0.0798874,4.12219
380,-0.00122,-0.0798874,4.09023
381,-0.001219,-0.0798874,4.07426
382,-0.001218,-0.0798874,4.05828
383,-0.001217,-0.0798874,4.02632
384,-0.001216,-0.0798874,4.02632
385,-0.001215,-0.0798874,3.97839
386,-0.001214,-0.0798874,3.96241
387,-0.001213,-0.0798874,3.94644
388,-0.001212,-0.0798874,3.91448
389,-0.001211,-0.0798874,3.8985
390,-0.00121,-0.0798874,3.88253
391,-0.001209,-0.0798874,3.85057
392,-0.001208,-0.0639099,3.85057
393,-0.001207,-0.0639099,3.81862
394,-0.001206,-0.0798874,3.78666
395,-0.001205,-0.0798874,3.73873
396,-0.001204,-0.0798874,3.72275
397,-0.001203,-0.0798874,3.6908
398,-0.001202,-0.0798874,3.67482
399,-0.001201,-0.0479324,3.65884
400,-0.0012,-0.0798874,3.62689
401,-0.001199,-0.0798874,3.59493
402,-0.001198,-0.0798874,3.57895
403,-0.001197,-0.0798874,3.547
404,-0.001196,-0.0798874,3.49907
405,-0.001195,-0.0798874,3.46711
406,-0.001194,-0.0798874,3.43516
407,-0.001193,-0.0798874,3.4032
408,-0.001192,-0.0798874,3.37125
409,-0.001191,-0.0798874,3.33929
410,-0.00119,-0.0798874,3.32331
411,-0.001189,-0.0798874,3.27538
412,-0.001188,-0.0798874,3.24343
413,-0.001187,-0.0798874,3.21147
414,-0.001186,-0.0798874,3.17952
415,-0.001185,-0.0798874,3.14756
416,-0.001184,-0.0798874,3.11561
417,-0.001183,-0.0798874,3.06767
418,-0.001182,-0.0798874,3.01974
419,-0.001181,-0.0798874,2.98779
420,-0.00118,-0.0798874,2.95583
421,-0.001179,-0.0798874,2.92388
