
Sample,Time(S),CH1(V),OutPut Voltage(V)
661,-0.00137,-0.885297,-4.42649
662,-0.00136,-0.918705,-4.40978
663,-0.00135,-0.935408,-4.40978
664,-0.00134,-0.98552,-4.40978
665,-0.00133,-1.00222,-4.40978
666,-0.00132,-1.03563,-4.40978
667,-0.00131,-1.01893,-4.40978
668,-0.0013,-1.05233,-4.40978
669,-0.00129,-1.05233,-4.40978
670,-0.00128,-1.05233,-4.40978
671,-0.00127,-1.05233,-4.40978
672,-0.00126,-1.05233,-4.40978
673,-0.00125,-1.05233,-4.40978
674,-0.00124,-1.01893,-4.40978
675,-0.00123,-1.01893,-4.40978
676,-0.00122,-1.00222,-4.40978
677,-0.00121,-1.00222,-4.40978
678,-0.0012,-0.935408,-4.40978
679,-0.00119,-0.935408,-4.40978
680,-0.00118,-0.885297,-4.40978
681,-0.00117,-0.85189,-4.40978
682,-0.00116,-0.818482,-4.42649
683,-0.00115,-0.785075,-4.42649
684,-0.00114,-0.751667,-4.40978
685,-0.00113,-0.684853,-4.45989
686,-0.00112,-0.651445,-4.45989
687,-0.00111,-0.58463,-4.45989
688,-0.0011,-0.534519,-4.45989
689,-0.00109,-0.467704,-4.40978
690,-0.00108,-0.400889,-4.45989
691,-0.00107,-0.350778,-4.45989
692,-0.00106,-0.283963,-4.45989
693,-0.00105,-0.233852,-4.45989
694,-0.00104,-0.167037,-4.45989
695,-0.00103,-0.100222,-4.45989
696,-0.00102,-0.0668149,-4.4766
697,-0.00101,0,-4.32626
698,-0.001,0.0668149,-3.25723
699,-0.00099,0.13363,-2.10467
700,-0.00098,0.183741,-0.952112
701,-0.00097,0.26726,0.200445
702,-0.00096,0.317371,1.31959
703,-0.00095,0.367482,2.47215
704,-0.00094,0.417593,3.608
705,-0.00093,0.484408,4.4766
706,-0.00092,0.534519,4.4766
707,-0.00091,0.601334,4.45989
708,-0.0009,0.618038,4.45989
709,-0.00089,0.668149,4.39308
710,-0.00088,0.71826,4.40978
711,-0.00087,0.751667,4.37638
712,-0.00086,0.768371,4.39308
713,-0.00085,0.801779,4.39308
714,-0.00084,0.835186,4.35967
715,-0.00083,0.835186,4.39308
716,-0.00082,0.85189,4.35967
717,-0.00081,0.868594,4.37638
718,-0.0008,0.885297,4.37638
719,-0.00079,0.885297,4.37638
720,-0.00078,0.885297,4.37638
721,-0.00077,0.885297,4.37638
722,-0.00076,0.885297,4.37638
723,-0.00075,0.885297,4.37638
724,-0.00074,0.868594,4.37638
725,-0.00073,0.835186,4.34297
726,-0.00072,0.85189,4.35967
727,-0.00071,0.818482,4.37638
728,-0.0007,0.801779,4.37638
729,-0.00069,0.768371,4.37638
