Second,Volt
1.6900081e-02,-1.20000e+00,
1.7000081e-02,-1.20000e+00,
1.7100081e-02,-1.40000e+00,
1.7200081e-02,-1.20000e+00,
1.7300081e-02,-1.60000e+00,
1.7400080e-02,-1.60000e+00,
1.7500080e-02,-1.60000e+00,
1.7600080e-02,-1.60000e+00,
1.7700080e-02,-1.80000e+00,
1.7800080e-02,-1.60000e+00,
1.7900079e-02,-1.80000e+00,
1.8000079e-02,-1.80000e+00,
1.8100079e-02,-2.00000e+00,
1.8200079e-02,-1.80000e+00,
1.8300079e-02,-2.00000e+00,
1.8400079e-02,-2.00000e+00,
1.8500078e-02,-2.00000e+00,
1.8600078e-02,-2.00000e+00,
1.8700078e-02,-1.80000e+00,
1.8800078e-02,-1.80000e+00,
1.8900078e-02,-1.60000e+00,
1.9000078e-02,-1.60000e+00,
1.9100077e-02,-1.20000e+00,
1.9200077e-02,-1.20000e+00,
1.9300077e-02,-6.00000e-01,
1.9400077e-02,-6.00000e-01,
1.9500077e-02,-0.00000e+00,
1.9600077e-02,-0.00000e+00,
1.9700076e-02,6.00000e-01,
1.9800076e-02,4.00000e-01,
1.9900076e-02,7.99999e-01,
2.0000076e-02,7.99999e-01,
2.0100076e-02,1.00000e+00,
