Sample,Time(S),CH1(V),CH2(V)
707,-0.00091,0.367482,0.417593
708,-0.0009,0.417593,0.467704
709,-0.00089,0.484408,0.534519
710,-0.00088,0.551223,0.567927
711,-0.00087,0.58463,0.634741
712,-0.00086,0.618038,0.668149
713,-0.00085,0.668149,0.701556
714,-0.00084,0.71826,0.751667
715,-0.00083,0.751667,0.785075
716,-0.00082,0.785075,0.818482
717,-0.00081,0.818482,0.868594
718,-0.0008,0.835186,0.868594
719,-0.00079,0.868594,0.902001
720,-0.00078,0.885297,0.918705
721,-0.00077,0.885297,0.918705
722,-0.00076,0.902001,0.952112
723,-0.00075,0.918705,0.952112
724,-0.00074,0.918705,0.952112
725,-0.00073,0.918705,0.952112
726,-0.00072,0.918705,0.952112
727,-0.00071,0.902001,0.952112
728,-0.0007,0.902001,0.935408
